ID	NC_017532.1.fna	NZ_CP007510.1.fna	NZ_CP007441.1.fna	NZ_CP007511.1.fna	NZ_CP011854.1.fna	NZ_CP015641.1.fna	NC_018028.1.fna	NC_019937.1.fna	NC_009434.1.fna	SAMD00059319_PSCT_BDJA01_FF.fna	NC_015740.1.fna	NC_019938.1.fna	NC_019936.1.fna	NC_019939.1.fna	NC_018177.1.fna	NZ_CP007509.1.fna	NC_009439.1.fna
PSCT_00001	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PSCT_00002	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PSCT_00003	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0
PSCT_00004	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0
PSCT_00005	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0
PSCT_00006	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PSCT_00007	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PSCT_00008	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PSCT_00009	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PSCT_00010	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0
PSCT_00011	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PSCT_00012	1	0	0	0	1	3	1	0	1	1	0	0	1	0	1	1	0
PSCT_00013	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0
PSCT_00014	2	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1
PSCT_00015	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0
PSCT_00016	1	0	0	1	1	2	1	0	1	1	1	0	1	0	1	0	1
PSCT_00017	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0
PSCT_00018	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0
PSCT_00019	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0
PSCT_00020	1	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1
PSCT_00021	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PSCT_00022	2	0	1	2	2	3	2	0	2	2	2	0	2	0	1	2	1
PSCT_00023	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1
PSCT_00024	11	1	0	1	0	4	11	0	0	4	8	0	1	0	5	2	0
PSCT_00025	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PSCT_00026	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PSCT_00027	0	0	0	0	0	0	0	0	2	1	6	0	0	0	0	0	0
PSCT_00028	0	0	0	0	0	0	0	0	2	1	6	0	0	0	0	0	0
PSCT_00029	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
PSCT_00030	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
PSCT_00031	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
PSCT_00032	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
PSCT_00033	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
PSCT_00034	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00035	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00036	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00037	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00038	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00039	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00040	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00041	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0
