ID	GCF_000279165.1_ASM27916v1_genomic.fna	GCF_000327065.1_ASM32706v1_genomic.fna	GCF_000219605.1_ASM21960v1_genomic.fna	GCF_000267545.1_ASM26754v1_genomic.fna	GCF_001038645.1_ASM103864v1_genomic.fna	GCF_000195105.1_ASM19510v1_genomic.fna	GCF_000013785.1_ASM1378v1_genomic.fna	GCF_000661915.1_ASM66191v1_genomic.fna	SAMD00059319_PSCT_BDJA01_FF.fna	GCF_000590475.1_ASM59047v1_genomic.fna	GCF_000016565.1_ASM1656v1_genomic.fna	GCF_001648195.1_ASM164819v1_genomic.fna	GCF_000818015.1_ASM81801v1_genomic.fna
PSCT_00001	0	0	0	0	0	1	1	0	1	0	0	0	0
PSCT_00002	0	0	0	0	0	1	1	0	1	0	0	0	0
PSCT_00003	1	0	1	0	1	1	1	1	1	0	0	0	0
PSCT_00004	1	0	1	0	1	1	1	1	1	0	0	0	0
PSCT_00005	0	0	1	0	1	1	1	1	1	0	0	0	0
PSCT_00006	0	0	0	0	0	1	1	0	1	0	0	0	0
PSCT_00007	0	0	0	0	0	1	1	0	1	0	0	0	0
PSCT_00008	0	0	0	0	0	1	1	0	1	0	0	0	0
PSCT_00009	0	0	0	0	0	1	1	0	1	0	0	0	0
PSCT_00010	0	0	0	0	1	1	1	1	1	0	0	0	0
PSCT_00011	0	0	0	0	0	1	1	0	1	0	0	0	0
PSCT_00012	1	1	0	1	1	1	1	1	1	0	0	3	0
PSCT_00013	1	0	0	0	1	1	1	1	1	0	0	0	0
PSCT_00014	1	0	0	0	1	2	1	0	1	0	1	0	0
PSCT_00015	1	0	0	0	1	1	1	0	1	0	0	0	0
PSCT_00016	1	1	1	1	1	1	1	0	1	0	1	2	1
PSCT_00017	1	0	1	0	1	1	1	1	1	0	0	0	0
PSCT_00018	1	0	1	0	1	1	1	1	1	0	0	0	0
PSCT_00019	1	0	1	0	1	1	1	1	1	0	0	0	0
PSCT_00020	1	0	1	0	1	1	1	1	1	0	1	0	1
