	GCF_000267545.1_ASM26754v1_genomic.fna	GCF_001648195.1_ASM164819v1_genomic.fna	GCF_000590475.1_ASM59047v1_genomic.fna	GCF_000195105.1_ASM19510v1_genomic.fna	GCF_000818015.1_ASM81801v1_genomic.fna	GCF_000661915.1_ASM66191v1_genomic.fna	GCF_001038645.1_ASM103864v1_genomic.fna	GCF_000327065.1_ASM32706v1_genomic.fna	GCF_000279165.1_ASM27916v1_genomic.fna	GCF_000013785.1_ASM1378v1_genomic.fna	GCF_000016565.1_ASM1656v1_genomic.fna	GCF_000219605.1_ASM21960v1_genomic.fna	SAMD00059319_PSCT_BDJA01_FF.fna
PSCT_00001	0.44	0.29	0.00	1.00	0.00	0.00	0.21	0.00	0.00	1.00	0.22	0.00	1.00
PSCT_00002	0.18	0.45	0.54	1.00	0.19	0.19	0.18	0.00	0.19	1.00	0.00	0.17	1.00
PSCT_00003	0.59	0.59	0.14	1.00	0.58	0.98	0.98	0.58	0.98	1.00	0.59	0.94	1.00
PSCT_00004	0.19	0.17	0.09	1.00	0.18	0.85	0.85	0.19	0.85	1.00	0.21	0.76	1.00
PSCT_00005	0.15	0.15	0.07	1.00	0.15	0.97	0.97	0.15	0.52	1.00	0.11	0.91	1.00
PSCT_00006	0.00	0.00	0.00	0.91	0.00	0.00	0.15	0.00	0.00	1.00	0.15	0.15	1.00
PSCT_00007	0.11	0.13	0.14	0.96	0.10	0.10	0.07	0.09	0.07	1.00	0.14	0.06	1.00
PSCT_00008	0.07	0.00	0.00	0.99	0.00	0.00	0.00	0.09	0.08	1.00	0.00	0.00	1.00
PSCT_00009	0.00	0.00	0.00	1.00	0.00	0.00	0.06	0.00	0.00	1.00	0.00	0.00	1.00
PSCT_00010	0.18	0.17	0.21	1.00	0.00	0.78	0.78	0.18	0.77	1.00	0.66	0.72	1.00
PSCT_00011	0.36	0.40	0.00	1.00	0.00	0.45	0.45	0.37	0.45	1.00	0.00	0.47	1.00
PSCT_00012	0.90	0.91	0.70	1.00	0.66	0.99	0.99	0.90	0.99	1.00	0.00	0.00	1.00
PSCT_00013	0.52	0.55	0.38	0.99	0.52	0.99	0.99	0.52	0.99	0.75	0.74	0.42	1.00
PSCT_00014	0.57	0.59	0.44	1.00	0.57	0.50	1.00	0.57	1.00	1.00	0.81	0.72	1.00
PSCT_00015	0.38	0.38	0.21	1.00	0.35	0.17	1.00	0.35	1.00	1.00	0.49	0.51	1.00
PSCT_00016	0.86	0.87	0.72	1.00	0.87	0.73	0.99	0.87	1.00	1.00	0.91	0.93	1.00
PSCT_00017	0.64	0.65	0.65	1.00	0.61	1.00	1.00	0.65	1.00	1.00	0.65	0.84	1.00
PSCT_00018	0.69	0.70	0.68	0.99	0.68	0.99	0.99	0.69	0.99	0.99	0.70	0.84	1.00
PSCT_00019	0.49	0.55	0.54	1.00	0.52	1.00	1.00	0.53	0.99	1.00	0.29	0.77	1.00
PSCT_00020	0.73	0.73	0.29	0.99	0.80	0.99	0.99	0.74	0.99	1.00	0.78	0.83	1.00
PSCT_00021	0.00	0.16	0.17	0.99	0.49	0.35	0.35	0.51	0.35	0.99	0.66	0.00	0.99
PSCT_00022	0.87	0.87	0.86	1.00	0.87	0.97	0.97	0.87	0.97	1.00	0.93	0.94	1.00
PSCT_00023	0.56	0.52	0.52	0.93	0.52	1.00	1.00	0.54	1.00	0.93	0.83	0.88	1.00
PSCT_00024	0.98	0.94	0.06	0.95	0.92	0.96	0.14	0.72	0.98	0.54	0.41	0.95	1.00
PSCT_00025	0.00	0.00	0.00	0.00	0.00	0.40	0.39	0.19	0.41	0.98	0.20	0.00	0.99
